rank,ticker,company_name,market,sector,industry,investment_theme,universe_role,selection_reason,data_start_date,is_active,notes
49,005940,NH투자증권,KOSPI,금융,증권,"증권, 자본시장",Cyclical,거래대금과 자본시장 사이클에 민감한 증권 대표 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
50,039490,키움증권,KOSPI,금융,온라인 증권,"증권, 브로커리지",Cyclical,개인 거래대금 변화와 온라인 브로커리지 강점을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
51,071050,한국금융지주,KOSPI,금융,금융투자 지주,"증권, 투자은행",Cyclical,증권·운용·IB 사이클에 대한 금융 섹터 분산 후보입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
52,207940,삼성바이오로직스,KOSPI,바이오·헬스케어,바이오 CDMO,"바이오, CDMO",Core,글로벌 바이오 위탁생산 대표주로 성장성과 방어성을 함께 갖췄습니다.,2016-11-10,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
53,068270,셀트리온,KOSPI,바이오·헬스케어,바이오시밀러,"바이오, 헬스케어",Core,국내 바이오시밀러 대표주로 유동성과 장기 데이터 활용도가 높습니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
54,128940,한미약품,KOSPI,바이오·헬스케어,제약 및 신약개발,"신약, 제약",Growth,신약 파이프라인과 제약 영업 기반을 함께 보유한 후보입니다.,2010-07-30,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
55,302440,SK바이오사이언스,KOSPI,바이오·헬스케어,백신 및 바이오,"백신, 바이오",Growth,백신 플랫폼과 바이오 생산 역량을 반영하는 성장 후보입니다.,2021-03-18,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
56,326030,에스케이바이오팜,KOSPI,바이오·헬스케어,신약 개발,"신약, CNS",Growth,글로벌 신약 상업화 경험을 가진 바이오 성장주입니다.,2020-07-02,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
57,196170,알테오젠,KOSDAQ,바이오·헬스케어,바이오 플랫폼,"바이오, 기술이전",Growth,플랫폼 기술과 기술이전 모멘텀을 가진 KOSDAQ 바이오 대표주입니다.,2014-12-12,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
58,028300,HLB,KOSDAQ,바이오·헬스케어,신약 개발,"바이오, 항암",Growth,대형 KOSDAQ 바이오 종목으로 이벤트와 모멘텀 팩터 적용성이 큽니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
59,214450,파마리서치,KOSDAQ,바이오·헬스케어,재생의학 및 의료미용,"헬스케어, 미용",Growth,의료미용 수요와 수익성 개선을 반영하는 중형 성장주입니다.,2015-07-24,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
60,145020,휴젤,KOSDAQ,바이오·헬스케어,보툴리눔 톡신,"의료미용, 바이오",Growth,의료미용 분야의 글로벌 확장성과 현금창출력을 갖춘 후보입니다.,2015-12-24,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
61,214150,클래시스,KOSDAQ,바이오·헬스케어,미용 의료기기,"의료기기, 미용",Growth,미용 의료기기 수출 성장성과 높은 수익성을 반영합니다.,2017-12-28,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
62,012450,한화에어로스페이스,KOSPI,방산·항공우주,방산 및 항공엔진,"방산, 항공우주",Core,국내 방산 수출과 항공우주 밸류체인을 대표하는 고유동성 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
63,079550,LIG디펜스앤에어로스페이스,KOSPI,방산·항공우주,유도무기 및 방산전자,"방산, 미사일",Growth,방산 수출 성장성과 정밀무기 테마를 반영하는 대표 종목입니다.,2015-10-02,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; 구 LIG넥스원
64,047810,한국항공우주,KOSPI,방산·항공우주,항공기 및 우주항공,"항공우주, 방산",Growth,항공기 개발과 우주항공 정책 수혜를 반영하는 후보입니다.,2011-06-30,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
65,272210,한화시스템,KOSPI,방산·항공우주,방산전자 및 ICT,"방산, 위성, ICT",Growth,방산전자와 위성·ICT 성장 테마를 동시에 제공합니다.,2019-11-13,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
66,064350,현대로템,KOSPI,방산·항공우주,철도 및 방산,"방산, 철도",Cyclical,전차 수출과 철도 인프라 사이클을 함께 반영합니다.,2013-10-30,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
67,003490,대한항공,KOSPI,방산·항공우주,항공운송 및 항공우주,"항공, 방산",Cyclical,항공운송 사이클과 항공우주 제조 노출을 보완합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
68,009540,HD한국조선해양,KOSPI,조선·기계·산업재,조선 지주,"조선, LNG선",Core,국내 조선업 대표 지주사로 선박 사이클을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
69,329180,HD현대중공업,KOSPI,조선·기계·산업재,조선,"조선, 방산",Cyclical,대형 조선 수주 사이클과 선가 모멘텀을 반영하는 핵심 후보입니다.,2021-09-17,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
70,010140,삼성중공업,KOSPI,조선·기계·산업재,조선 및 해양플랜트,"조선, LNG선",Cyclical,조선 업황 회복과 해양플랜트 사이클을 포착할 수 있습니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
71,042660,한화오션,KOSPI,조선·기계·산업재,조선 및 특수선,"조선, 방산",Cyclical,상선과 특수선 수주를 함께 반영하는 조선 대표 후보입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
72,267260,HD현대일렉트릭,KOSPI,조선·기계·산업재,전력기기,"전력망, 변압기",Growth,전력망 투자와 변압기 수출 성장성을 반영하는 산업재 성장주입니다.,2017-05-10,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
73,034020,두산에너빌리티,KOSPI,조선·기계·산업재,발전설비 및 원전,"원전, 산업재",Cyclical,원전과 발전설비 투자 사이클을 반영하는 대형 산업재입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
74,241560,두산밥캣,KOSPI,조선·기계·산업재,건설기계,"건설기계, 인프라",Cyclical,북미 건설기계 수요와 인프라 투자를 반영합니다.,2016-11-18,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
75,443060,HD현대마린솔루션,KOSPI,조선·기계·산업재,선박 애프터마켓 서비스,"조선, 선박서비스",Growth,선박 유지보수와 친환경 개조 수요를 반영하는 조선 밸류체인 후보입니다.,2024-05-08,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
76,096770,SK이노베이션,KOSPI,에너지·화학,정유 및 배터리,"정유, 배터리",Cyclical,정유 마진과 배터리 사업 가치를 함께 반영하는 대형주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
77,010950,S-Oil,KOSPI,에너지·화학,정유,"정유, 배당",Cyclical,정제마진과 유가 사이클을 반영하는 고유동성 에너지 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
78,009830,한화솔루션,KOSPI,에너지·화학,화학 및 태양광,"태양광, 화학",Cyclical,태양광과 기초화학 사이클을 함께 반영하는 후보입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
79,011170,롯데케미칼,KOSPI,에너지·화학,석유화학,"화학, 경기민감",Cyclical,석유화학 업황과 스프레드 회복을 반영하는 대표주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
80,011780,금호석유화학,KOSPI,에너지·화학,합성고무 및 화학,"화학, 소재",Cyclical,합성고무와 화학 스프레드 사이클을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
81,004020,현대제철,KOSPI,에너지·화학,철강,"철강, 자동차 소재",Cyclical,철강 수요와 자동차·건설 경기 민감도를 보완합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
82,005490,POSCO홀딩스,KOSPI,에너지·화학,철강 및 소재 지주,"철강, 배터리 소재",Core,철강 대표성과 배터리 소재 성장성을 함께 가진 대형주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
83,010130,고려아연,KOSPI,에너지·화학,비철금속 제련,"비철금속, 소재",Defensive,비철금속 제련과 배터리 소재 확장성을 가진 안정적 소재주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
84,051900,LG생활건강,KOSPI,소비재·유통·엔터테인먼트,화장품 및 생활용품,"소비재, 화장품",Defensive,생활용품과 화장품 브랜드를 보유한 소비재 대표주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
85,090430,아모레퍼시픽,KOSPI,소비재·유통·엔터테인먼트,화장품,"K뷰티, 소비재",Cyclical,화장품 수출과 중국·글로벌 소비 회복을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
86,097950,CJ제일제당,KOSPI,소비재·유통·엔터테인먼트,식품 및 바이오,"식품, 바이오소재",Defensive,식품 방어성과 바이오 소재 성장성을 함께 제공합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
87,271560,오리온,KOSPI,소비재·유통·엔터테인먼트,음식료,"식품, 해외소비",Defensive,해외 매출 기반의 음식료 안정성을 반영하는 소비재 후보입니다.,2017-07-07,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
88,139480,이마트,KOSPI,소비재·유통·엔터테인먼트,대형마트 및 유통,"유통, 내수",Cyclical,내수 소비와 유통 구조 변화에 대한 노출을 제공합니다.,2011-06-10,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
89,383220,F&F,KOSPI,소비재·유통·엔터테인먼트,패션,"패션, 소비재",Growth,브랜드 기반 소비재 성장성과 해외 확장성을 반영합니다.,2021-05-21,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
90,352820,하이브,KOSPI,소비재·유통·엔터테인먼트,엔터테인먼트,"K팝, 콘텐츠",Growth,K팝 지식재산권과 글로벌 팬덤 경제를 대표하는 성장주입니다.,2020-10-15,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
91,035900,JYP Ent.,KOSDAQ,소비재·유통·엔터테인먼트,엔터테인먼트,"K팝, 콘텐츠",Growth,KOSDAQ 엔터 대표주로 글로벌 콘텐츠 성장성을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
92,017670,SK텔레콤,KOSPI,통신·인프라,무선통신,"통신, AI 인프라",Defensive,통신 방어성과 AI 데이터센터 신사업 노출을 함께 제공합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
93,030200,케이티,KOSPI,통신·인프라,유무선통신,"통신, 클라우드",Defensive,유무선 통신 기반의 안정적 현금흐름과 배당 성격을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
94,032640,LG유플러스,KOSPI,통신·인프라,무선통신,"통신, 미디어",Defensive,통신 3사 분산과 내수 방어주 특성을 제공합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
95,365340,성일하이텍,KOSDAQ,통신·인프라,배터리 리사이클링 인프라,"순환자원, 인프라",Growth,배터리 재활용 인프라 성장성을 반영하는 KOSDAQ 후보입니다.,2022-07-28,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
96,000720,현대건설,KOSPI,건설·운송·기타,건설 및 플랜트,"건설, 원전, 인프라",Cyclical,국내외 건설·플랜트와 원전 인프라 사이클을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
97,006360,GS건설,KOSPI,건설·운송·기타,건설,"건설, 인프라",Cyclical,주택과 인프라 경기 변동성을 반영하는 건설 대표 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
98,047040,대우건설,KOSPI,건설·운송·기타,건설,"건설, 해외수주",Cyclical,해외수주와 주택 경기 회복 모멘텀을 포착할 수 있습니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
99,028260,삼성물산,KOSPI,건설·운송·기타,상사·건설·패션 지주,"지주, 건설, 상사",Core,"건설, 상사, 바이오 지분가치를 함께 가진 복합 대형주입니다.",2014-12-18,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
100,011200,HMM,KOSPI,건설·운송·기타,해운,"해운, 운송",Cyclical,컨테이너 운임 사이클을 반영하는 운송 대표주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
